,geo,Year,CPI,Immigrants,Population,Housing Index,GDP,emigration,unemployment,total_deaths,Exports,Imports,Immigrants_pcap,GDP_pcap,Emigrants_pcap,Deaths_pcap,Exports_pcap,Imports_pcap
77,Estonia,2012,96.33,2639.0,1322696.0,74.37,17916.7,6321.0,6.8,15450.0,12520.7,14076.6,0.0019951674458832565,13545.591730828552,0.004778875871704458,0.01168068853311721,0.009466045107870592,0.010642354705843217
78,Estonia,2013,99.46,4109.0,1317997.0,82.29,18910.8,6740.0,5.9,15244.0,12288.2,13902.7,0.0031176095241491446,14348.135845529237,0.005113820441169441,0.011566035431036641,0.00932338996219263,0.010548354814161186
79,Estonia,2014,99.93,3904.0,1314545.0,93.58,20048.2,4637.0,5.0,15484.0,12083.1,13776.5,0.002969848883073611,15251.056449189644,0.003527456268138405,0.011778980559813471,0.009191849651400295,0.010480052033213012
80,Estonia,2015,100.0,15413.0,1315407.0,100.0,20631.4,13003.0,4.5,15243.0,11575.3,13096.7,0.011717285980688866,15684.423148120695,0.009885153416395077,0.011588048413912956,0.00879978592177174,0.009956386122318035
81,Estonia,2016,100.8,14822.0,1315790.0,104.75,21747.9,13792.0,4.9,15392.0,11896.9,13514.8,0.011264715494113802,16528.397388641046,0.010481915807233677,0.011697915320833871,0.009041640383343846,0.010271243891502442
82,Estonia,2017,104.48,17616.0,1317384.0,110.51,23833.6,12358.0,4.2,15543.0,12877.6,14770.7,0.013371955329653313,18091.611861082263,0.009380712077875547,0.011798382248456031,0.009775130106331943,0.011212144674597536
83,Estonia,2018,108.05,17547.0,1321977.0,117.07,25932.2,10476.0,3.9,15751.0,14422.4,16217.4,0.01327330203172975,19616.22630348334,0.007924494904222994,0.011914730740398661,0.010909720819651175,0.012267535668169719
84,Estonia,2019,110.5,18259.0,1326898.0,125.27,27951.0,12801.0,3.2,15401.0,14382.1,16102.8,0.01376066585374309,21064.919835586457,0.009647312755012065,0.011606770075770708,0.010838888897262639,0.012135672824889327
85,Estonia,2020,109.8,16209.0,1329522.0,132.79,27430.0,12427.0,5.0,15811.0,14273.8,15140.6,0.012191599687707312,20631.47507149186,0.009346968308911022,0.011892243979415159,0.010736038967388279,0.011388002605447672
86,Estonia,2021,114.72,19524.0,1330932.0,152.78,31169.0,12481.0,4.4,18587.0,18253.0,19989.9,0.014669419624744164,23418.927488406618,0.009377639128069654,0.013965401688440881,0.013714449723952839,0.015019475074609373
87,Spain,2011,96.94,371331.0,46742697.0,124.27,1063763.0,409034.0,14.2,386017.0,220223.3,270550.3,0.007944150077604637,22757.84386168389,0.008750757364300138,0.008258338195590211,0.004711394808904586,0.005788076370518372
88,Spain,2012,99.31,304053.0,46773055.0,105.9,1031104.0,446606.0,16.5,401122.0,229802.3,262561.1,0.0065006016818871465,22044.829015337997,0.009548360696131566,0.00857592047387112,0.004913134282120336,0.005613511882001293
89,Spain,2013,100.83,280772.0,46620045.0,96.24,1020677.0,532303.0,17.3,388600.0,239314.3,256455.1,0.0060225596092839465,21893.522410799902,0.011417899746772016,0.008335470289657592,0.0051332919133818935,0.005500962086158433
90,Spain,2014,100.63,305454.0,46480882.0,96.54,1032608.0,400430.0,16.0,393734.0,244287.2,270172.6,0.0065716050741033705,22215.75743764931,0.008614939793956578,0.00847088056547636,0.0052556489784337575,0.005812553212738088
91,Spain,2015,100.0,342114.0,46444832.0,100.0,1078092.0,343875.0,14.5,420408.0,254599.4,281222.1,0.007366029443275842,23212.313481939174,0.007403945394828858,0.009051771357467715,0.005481759520628689,0.006054970766176955
92,Spain,2016,99.66,414746.0,46484062.0,104.62,1114420.0,327325.0,12.8,408231.0,262041.3,281056.8,0.008922326968757593,23974.23874015141,0.007041660860016924,0.008782171403179008,0.005637228949569854,0.0060463046452351775
93,Spain,2017,101.69,532132.0,46593236.0,111.1,1162492.0,368860.0,11.2,422037.0,283094.6,311651.2,0.011420799362379552,24949.801726585378,0.007916599739927916,0.009057902739358992,0.006075873330626788,0.006688764867072122
94,Spain,2018,103.46,643684.0,46797754.0,118.58,1203859.0,309526.0,9.9,425153.0,293458.8,330635.8,0.013754591726773896,25724.717472552205,0.0066141208400727946,0.009084901809603939,0.006270788123720638,0.007065206590897503
95,Spain,2019,104.26,750480.0,47134837.0,124.71,1245513.0,296248.0,9.1,416102.0,298337.0,332958.5,0.01592198144230349,26424.468169901596,0.006285117735741825,0.008827907901750037,0.006329437396802709,0.007063957811077187
96,Spain,2020,103.91,467918.0,47365655.0,127.5,1119010.0,248561.0,9.9,492447.0,269521.0,285215.4,0.009878845758598714,23624.924008756978,0.005247705325725993,0.01039671044346373,0.005690220055016657,0.006021565625979415
97,Spain,2021,107.04,528856.0,47415794.0,132.19,1222290.0,380786.0,9.6,449149.0,321434.9,355442.0,0.011153583128862084,25778.119417340138,0.008030784004165363,0.009472560978310307,0.006779068172938326,0.00749627856068381
98,Finland,2011,93.85,29481.0,5388272.0,96.87,197998.0,12660.0,5.2,50585.0,56855.2,60534.7,0.005471327356896608,36746.10338899001,0.002349547313127474,0.009387981898463923,0.010551657377355857,0.011234529363031412
99,Finland,2012,96.81,31278.0,5413971.0,99.21,201037.0,13845.0,5.2,51707.0,56878.0,59517.3,0.005777275127628131,37133.002744196456,0.0025572726562443724,0.009550660688799404,0.010505782169871246,0.010993280163488132
100,Finland,2013,98.96,31941.0,5438972.0,100.35,204321.0,13893.0,5.4,51472.0,56047.5,58406.6,0.00587261710484996,37566.10624213546,0.002554342989814987,0.009463553039066942,0.010304796568175015,0.010738536620523143
101,Finland,2014,100.16,31507.0,5461512.0,100.0,206897.0,15486.0,5.7,52186.0,55973.3,57769.4,0.00576891527474443,37882.73284028305,0.0028354785268255383,0.009555229394350868,0.010248682049952468,0.010577547023608115
102,Finland,2015,100.0,28746.0,5479531.0,100.0,211385.0,16305.0,6.1,52492.0,53951.3,54487.6,0.005246069417254871,38577.206698894486,0.0029756196287601985,0.009579651981164082,0.009845970394181546,0.009943843734071402
103,Finland,2016,100.39,34905.0,5495303.0,101.29,217518.0,18082.0,5.8,53923.0,52321.3,54995.6,0.0063517880633697545,39582.53075399118,0.003290446404866119,0.009812561745912827,0.009521094651195758,0.010007746615609731
104,Finland,2017,101.23,31797.0,5508214.0,102.39,226301.0,16973.0,5.7,53722.0,60239.2,62460.4,0.005772651534599055,41084.278860625236,0.0030813980720429527,0.009753070596022595,0.010936249027361681,0.011339501333826173
105,Finland,2018,102.42,31106.0,5515525.0,103.34,233462.0,19141.0,4.9,54527.0,64235.8,66577.0,0.005639716980704466,42328.15552463274,0.0034703858653527997,0.00988609425213375,0.011646361860385005,0.012070836411764973
106,Finland,2019,103.58,32758.0,5521606.0,103.77,239858.0,17263.0,4.5,53949.0,65615.5,65847.6,0.005932694219761425,43439.89773989669,0.003126445458078682,0.009770526908294434,0.011883408559031557,0.011925443430769962
107,Finland,2020,103.98,32898.0,5529543.0,105.6,238038.0,15084.0,5.1,55488.0,57874.5,59757.3,0.005949497092255182,43048.4038192668,0.00272789270288702,0.01003482566280794,0.010466416483242829,0.010806914784820374
108,Finland,2021,106.12,36364.0,5541017.0,110.45,250923.0,13459.0,5.2,57659.0,69471.3,72867.8,0.006562694176899295,45284.647204655754,0.002428976485724552,0.010405851488995612,0.012537644262777032,0.013150618379261425
109,France,2011,96.2,319816.0,65127852.0,105.46,2058369.0,291594.0,5.8,545221.0,428500.6,517261.8,0.004910587255357354,31605.049710529376,0.004477254984549467,0.008371548934240915,0.006579375594945155,0.007942251803421983
110,France,2012,98.33,327431.0,65438667.0,104.88,2088804.0,255922.0,6.2,569986.0,442643.4,524918.3,0.005003631874102814,31920.02673281838,0.003910868172177163,0.008710232437955987,0.0067642484221141,0.008021531062055406
111,France,2013,99.31,338752.0,65771309.0,102.93,2117189.0,239813.0,6.6,569365.0,437150.6,513888.9,0.005150452456404661,32190.16060635193,0.003646164317635825,0.008656738153105635,0.006646524246613367,0.007813268548448686
112,France,2014,99.91,340383.0,66312067.0,101.36,2149765.0,308103.0,6.5,559435.0,437785.9,509231.0,0.0051330476548106995,32418.91102565088,0.004646258425333055,0.008436398159629077,0.0066019039943363556,0.007679311217971836
113,France,2015,100.0,364221.0,66548272.0,100.0,2198432.0,324517.0,6.5,593807.0,456514.7,514613.1,0.005473034671734226,33035.14777964483,0.004876415123145497,0.008922951447935418,0.006859903139182938,0.007732929564271782
114,France,2016,100.31,377709.0,66724104.0,101.04,2234129.0,313622.0,6.3,594005.0,453075.8,513099.6,0.0056607579174086774,33483.08731129608,0.004700280426395835,0.008902405043910369,0.00679028676053859,0.007689868716708432
115,France,2017,101.47,369621.0,66918020.0,104.24,2297242.0,215470.0,5.9,606410.0,473814.8,548626.4,0.005523489786458117,34329.19862243384,0.0032199099734271873,0.009061983603220776,0.007080526291722319,0.008198485251057937
116,France,2018,103.6,387158.0,67158348.0,107.29,2363306.0,300668.0,5.7,609747.0,492964.1,572576.0,0.0057648529412903365,35190.055598151404,0.004477001131713365,0.009079243581155392,0.007340324988339498,0.008525760639615495
117,France,2019,104.95,385591.0,67388001.0,110.86,2437635.0,299101.0,5.3,613388.0,509948.2,584682.5,0.005721953378614095,36173.131178056465,0.004438490466574309,0.009102332624468265,0.007567344222007714,0.008676359163703342
118,France,2020,105.5,283237.0,67571107.0,116.62,2317832.0,144797.0,5.0,669064.0,427236.2,508499.3,0.00419168802429121,34302.11673163798,0.002142883348055849,0.009901628517052414,0.0063227645508308755,0.007525395432695811
119,France,2021,107.68,336398.0,67764304.0,123.98,2502118.0,177028.0,4.9,661779.0,494948.8,605254.5,0.0049642360378998355,36923.835298301005,0.0026124078541410237,0.009765893854676055,0.007303975261075507,0.008931760001548899
120,Croatia,2011,94.59,8534.0,4282921.0,110.66,45649.2,12699.0,7.8,51019.0,9582.2,16281.1,0.001992565354345784,10658.426807312111,0.0029650325093551807,0.011912197306464443,0.0022373048674024106,0.0038014009597655434
