,geo,Year,CPI,Immigrants,Population,Housing Index,GDP,emigration,unemployment,total_deaths,Exports,Imports,Immigrants_pcap,GDP_pcap,Emigrants_pcap,Deaths_pcap,Exports_pcap,Imports_pcap
60,France,2022,107.67,356152.509091,68172426.781818,116.939091,2503461.2,208418.654545,5.041818,666076.890909,493143.636364,578279.487273,0.00523,36774.113125,0.003049,0.009783,0.007241,0.008488
61,France,2023,108.686818,357476.154545,68432648.654545,118.570455,2545480.172727,199660.627273,4.901818,677207.781818,498749.65,585073.774545,0.00523,37273.272576,0.002903,0.009915,0.007298,0.008558
62,France,2024,109.703636,358799.8,68692870.527273,120.201818,2587499.145455,190902.6,4.761818,688338.672727,504355.663636,591868.061818,0.005231,37772.432028,0.002758,0.010046,0.007356,0.008628
63,France,2025,110.720455,360123.445455,68953092.4,121.833182,2629518.118182,182144.572727,4.621818,699469.563636,509961.677273,598662.349091,0.005231,38271.591479,0.002612,0.010178,0.007413,0.008698
64,France,2026,111.737273,361447.090909,69213314.272727,123.464545,2671537.090909,173386.545455,4.481818,710600.454545,515567.690909,605456.636364,0.005232,38770.75093,0.002467,0.01031,0.00747,0.008768
65,France,2027,112.754091,362770.736364,69473536.145455,125.095909,2713556.063636,164628.518182,4.341818,721731.345455,521173.704545,612250.923636,0.005232,39269.910381,0.002321,0.010442,0.007528,0.008838
66,Croatia,2022,105.583273,38514.890909,3965106.945455,128.808,56869.194545,49186.581818,3.412727,58143.745455,18010.203636,28195.178182,0.009593,14286.609598,0.012211,0.014635,0.004506,0.00706
67,Croatia,2023,106.410182,41709.281818,3933420.618182,131.558273,58172.584545,52395.436364,2.802727,58934.172727,18872.939091,29435.12,0.010405,14694.724015,0.013035,0.014928,0.004739,0.0074
68,Croatia,2024,107.237091,44903.672727,3901734.290909,134.308545,59475.974545,55604.290909,2.192727,59724.6,19735.674545,30675.061818,0.011217,15102.838431,0.01386,0.015222,0.004972,0.00774
69,Croatia,2025,108.064,48098.063636,3870047.963636,137.058818,60779.364545,58813.145455,1.582727,60515.027273,20598.41,31915.003636,0.01203,15510.952847,0.014684,0.015515,0.005205,0.008079
70,Croatia,2026,108.890909,51292.454545,3838361.636364,139.809091,62082.754545,62022.0,0.972727,61305.454545,21461.145455,33154.945455,0.012842,15919.067263,0.015508,0.015808,0.005438,0.008419
71,Croatia,2027,109.717818,54486.845455,3806675.309091,142.559364,63386.144545,65230.854545,0.362727,62095.881818,22323.880909,34394.887273,0.013654,16327.181679,0.016333,0.016101,0.005671,0.008759
72,Hungary,2022,116.525455,95411.672727,9686160.545455,200.404545,155562.594545,69902.654545,1.218182,143890.745455,119378.916364,118035.785455,0.009804,16023.015001,0.007184,0.014847,0.012298,0.012157
73,Hungary,2023,118.645455,101271.8,9662590.318182,212.687727,161165.243636,74414.263636,0.781818,145745.990909,123386.46,122597.952727,0.010414,16623.072199,0.007653,0.015069,0.012729,0.012643
74,Hungary,2024,120.765455,107131.927273,9639020.090909,224.970909,166767.892727,78925.872727,0.345455,147601.236364,127394.003636,127160.12,0.011024,17223.129397,0.008123,0.015291,0.01316,0.01313
75,Hungary,2025,122.885455,112992.054545,9615449.863636,237.254091,172370.541818,83437.481818,-0.090909,149456.481818,131401.547273,131722.287273,0.011633,17823.186595,0.008592,0.015513,0.013592,0.013617
76,Hungary,2026,125.005455,118852.181818,9591879.636364,249.537273,177973.190909,87949.090909,-0.527273,151311.727273,135409.090909,136284.454545,0.012243,18423.243793,0.009061,0.015735,0.014023,0.014103
77,Hungary,2027,127.125455,124712.309091,9568309.409091,261.820455,183575.84,92460.7,-0.963636,153166.972727,139416.634545,140846.621818,0.012853,19023.300991,0.00953,0.015957,0.014454,0.01459
78,Ireland,2022,102.865455,91409.4,5064093.236364,153.086727,437417.88,47917.509091,1.805455,33316.0,169932.607273,104834.907273,0.018206,87438.212451,0.009265,0.006583,0.033858,0.020913
79,Ireland,2023,103.29,93910.436364,5111956.427273,160.362545,464159.11,44844.563636,1.056364,33773.409091,178184.696364,109871.969091,0.018579,92432.206053,0.008481,0.006614,0.035325,0.021811
80,Ireland,2024,103.714545,96411.472727,5159819.618182,167.638364,490900.34,41771.618182,0.307273,34230.818182,186436.785455,114909.030909,0.018953,97426.199655,0.007697,0.006645,0.036791,0.022708
81,Ireland,2025,104.139091,98912.509091,5207682.809091,174.914182,517641.57,38698.672727,-0.441818,34688.227273,194688.874545,119946.092727,0.019327,102420.193257,0.006914,0.006676,0.038258,0.023605
82,Ireland,2026,104.563636,101413.545455,5255546.0,182.19,544382.8,35625.727273,-1.190909,35145.636364,202940.963636,124983.154545,0.019701,107414.18686,0.00613,0.006708,0.039725,0.024502
83,Ireland,2027,104.988182,103914.581818,5303409.190909,189.465818,571124.03,32552.781818,-1.94,35603.045455,211193.052727,130020.216364,0.020075,112408.180462,0.005346,0.006739,0.041192,0.0254
84,Italy,2022,105.321818,288740.509091,59828460.109091,94.021818,1801313.736364,186120.418182,5.756364,705395.527273,504308.709091,434482.943636,0.004822,30117.103157,0.003114,0.0118,0.008437,0.007268
85,Italy,2023,106.084545,284182.336364,59791386.672727,92.275455,1818917.086364,193435.472727,5.708182,716498.963636,516586.759091,441087.582727,0.004748,30429.461891,0.003238,0.011994,0.008647,0.007382
86,Italy,2024,106.847273,279624.163636,59754313.236364,90.529091,1836520.436364,200750.527273,5.66,727602.4,528864.809091,447692.221818,0.004674,30741.820625,0.003362,0.012187,0.008858,0.007497
87,Italy,2025,107.61,275065.990909,59717239.8,88.782727,1854123.786364,208065.581818,5.611818,738705.836364,541142.859091,454296.860909,0.0046,31054.179359,0.003486,0.01238,0.009069,0.007612
88,Italy,2026,108.372727,270507.818182,59680166.363636,87.036364,1871727.136364,215380.636364,5.563636,749809.272727,553420.909091,460901.5,0.004526,31366.538094,0.003611,0.012573,0.009279,0.007726
89,Italy,2027,109.135455,265949.645455,59643092.927273,85.29,1889330.486364,222695.690909,5.515455,760912.709091,565698.959091,467506.139091,0.004452,31678.896828,0.003735,0.012766,0.00949,0.007841
90,Lithuania,2022,114.273091,43794.709091,2732440.563636,155.201636,55401.290909,24851.763636,3.496364,43153.690909,32490.449091,34656.665455,0.015789,20039.878362,0.009244,0.015739,0.011776,0.012567
91,Lithuania,2023,115.975273,46526.736364,2707561.081818,162.182818,57730.509091,22584.936364,3.033636,43438.245455,33586.689091,35763.621818,0.016822,20970.977818,0.00857,0.015963,0.012234,0.013035
92,Lithuania,2024,117.677455,49258.763636,2682681.6,169.164,60059.727273,20318.109091,2.570909,43722.8,34682.929091,36870.578182,0.017855,21902.077273,0.007895,0.016187,0.012692,0.013503
93,Lithuania,2025,119.379636,51990.790909,2657802.118182,176.145182,62388.945455,18051.281818,2.108182,44007.354545,35779.169091,37977.534545,0.018888,22833.176729,0.00722,0.01641,0.013149,0.013971
94,Lithuania,2026,121.081818,54722.818182,2632922.636364,183.126364,64718.163636,15784.454545,1.645455,44291.909091,36875.409091,39084.490909,0.019921,23764.276185,0.006545,0.016634,0.013607,0.014439
95,Lithuania,2027,122.784,57454.845455,2608043.154545,190.107545,67047.381818,13517.627273,1.182727,44576.463636,37971.649091,40191.447273,0.020954,24695.37564,0.005871,0.016857,0.014065,0.014907
96,Luxembourg,2022,109.294,26141.709091,655926.945455,161.976182,71219.874545,16858.836364,4.034545,4600.854545,13451.870909,20591.074545,0.039945,109616.379061,0.02608,0.006997,0.020126,0.030947
97,Luxembourg,2023,110.547545,26644.372727,668348.709091,170.055091,73700.571818,17516.172727,4.091818,4681.754545,13322.800909,20599.276364,0.039975,111813.789985,0.026749,0.006983,0.019376,0.030188
98,Luxembourg,2024,111.801091,27147.036364,680770.472727,178.134,76181.269091,18173.509091,4.149091,4762.654545,13193.730909,20607.478182,0.040005,114011.200908,0.027417,0.006969,0.018625,0.02943
99,Luxembourg,2025,113.054636,27649.7,693192.236364,186.212909,78661.966364,18830.845455,4.206364,4843.554545,13064.660909,20615.68,0.040034,116208.611832,0.028085,0.006955,0.017875,0.028672
100,Luxembourg,2026,114.308182,28152.363636,705614.0,194.291818,81142.663636,19488.181818,4.263636,4924.454545,12935.590909,20623.881818,0.040064,118406.022756,0.028754,0.00694,0.017124,0.027914
101,Luxembourg,2027,115.561727,28655.027273,718035.763636,202.370727,83623.360909,20145.518182,4.320909,5005.354545,12806.520909,20632.083636,0.040093,120603.43368,0.029422,0.006926,0.016374,0.027156
102,Latvia,2022,111.573273,10584.909091,1861797.909091,159.481091,33696.22,9778.8,3.605455,30649.290909,16260.94,18951.18,0.005685,17916.236054,0.005448,0.016419,0.008653,0.010092
103,Latvia,2023,113.003818,10627.818182,1844738.409091,166.587182,34944.176364,8214.190909,3.065455,30900.990909,16899.589091,19626.473636,0.005755,18667.5322,0.00474,0.016679,0.009036,0.010504
104,Latvia,2024,114.434364,10670.727273,1827678.909091,173.693273,36192.132727,6649.581818,2.525455,31152.690909,17538.238182,20301.767273,0.005826,19418.828347,0.004032,0.016939,0.009418,0.010916
105,Latvia,2025,115.864909,10713.636364,1810619.409091,180.799364,37440.089091,5084.972727,1.985455,31404.390909,18176.887273,20977.060909,0.005896,20170.124494,0.003324,0.017199,0.0098,0.011328
106,Latvia,2026,117.295455,10756.545455,1793559.909091,187.905455,38688.045455,3520.363636,1.445455,31656.090909,18815.536364,21652.354545,0.005966,20921.42064,0.002616,0.01746,0.010182,0.01174
107,Latvia,2027,118.726,10799.454545,1776500.409091,195.011545,39936.001818,1955.754545,0.905455,31907.790909,19454.185455,22327.648182,0.006036,21672.716787,0.001908,0.01772,0.010564,0.012152
108,Malta,2022,108.755818,25612.981818,530704.327273,137.146,16072.827273,13127.4,2.161818,4077.090909,2453.316364,6166.598182,0.050451,31011.369779,0.025486,0.00766,0.004467,0.011663
109,Malta,2023,109.999818,27131.009091,542067.336364,141.944727,16941.377273,14047.981818,2.028182,4163.136364,2410.814545,6294.823636,0.053008,32319.093047,0.027058,0.007653,0.004226,0.011661
110,Malta,2024,111.243818,28649.036364,553430.345455,146.743455,17809.927273,14968.563636,1.894545,4249.181818,2368.312727,6423.049091,0.055565,33626.816315,0.028629,0.007647,0.003985,0.01166
111,Malta,2025,112.487818,30167.063636,564793.354545,151.542182,18678.477273,15889.145455,1.760909,4335.227273,2325.810909,6551.274545,0.058123,34934.539583,0.030201,0.00764,0.003745,0.011658
112,Malta,2026,113.731818,31685.090909,576156.363636,156.340909,19547.027273,16809.727273,1.627273,4421.272727,2283.309091,6679.5,0.06068,36242.26285,0.031772,0.007633,0.003504,0.011656
113,Malta,2027,114.975818,33203.118182,587519.372727,161.139636,20415.577273,17730.309091,1.493636,4507.318182,2240.807273,6807.725455,0.063237,37549.986118,0.033344,0.007627,0.003263,0.011655
114,Netherlands,2022,109.527455,227256.236364,17587746.436364,150.389636,859790.581818,107918.345455,3.098182,168982.0,676776.869091,603910.529091,0.01299,48990.77833,0.006133,0.009621,0.038572,0.034418
115,Netherlands,2023,110.845364,236623.245455,17674036.736364,155.992909,881482.981818,107683.827273,2.855455,172171.954545,696260.601818,621662.203636,0.013489,50041.02793,0.006088,0.009763,0.039543,0.035305
116,Netherlands,2024,112.163273,245990.254545,17760327.036364,161.596182,903175.381818,107449.309091,2.612727,175361.909091,715744.334545,639413.878182,0.013988,51091.27753,0.006042,0.009905,0.040513,0.036193
117,Netherlands,2025,113.481182,255357.263636,17846617.336364,167.199455,924867.781818,107214.790909,2.37,178551.863636,735228.067273,657165.552727,0.014487,52141.52713,0.005996,0.010047,0.041484,0.03708
118,Netherlands,2026,114.799091,264724.272727,17932907.636364,172.802727,946560.181818,106980.272727,2.127273,181741.818182,754711.8,674917.227273,0.014986,53191.77673,0.005951,0.010188,0.042455,0.037968
